record_id_document,document_symbol_found,lang_field,doc_url,date_document
602218.0,A/61/PV.101,English,https://digitallibrary.un.org/record/602218/files/A_61_PV.101-EN.pdf,2007-05-30
602215.0,A/61/PV.98,English,https://digitallibrary.un.org/record/602215/files/A_61_PV.98-EN.pdf,2007-05-21
597431.0,S/PV.5663,English,https://digitallibrary.un.org/record/597431/files/S_PV.5663-EN.pdf,2007-04-17
601982.0,E/2007/SR.8,English,https://digitallibrary.un.org/record/601982/files/E_2007_SR.8-EN.pdf,2007-04-16
597560.0,A/61/PV.94,English,https://digitallibrary.un.org/record/597560/files/A_61_PV.94-EN.pdf,2007-04-16
594880.0,A/61/PV.88,English,https://digitallibrary.un.org/record/594880/files/A_61_PV.88-EN.pdf,2007-03-15
593253.0,S/PV.5632,English,https://digitallibrary.un.org/record/593253/files/S_PV.5632-EN.pdf,2007-02-20
595824.0,E/2007/SR.1,English,https://digitallibrary.un.org/record/595824/files/E_2007_SR.1-EN.pdf,2007-01-17
590510.0,S/PV.5615,English,https://digitallibrary.un.org/record/590510/files/S_PV.5615-EN.pdf,2007-01-08
856235.0,S/PV.7857,English,https://digitallibrary.un.org/record/856235/files/S_PV.7857-EN.pdf,2017-01-10
860672.0,S/PV.7886,English,https://digitallibrary.un.org/record/860672/files/S_PV-7886-EN.pdf,2017-02-21
862365.0,S/PV.7898,English,https://digitallibrary.un.org/record/862365/files/S_PV-7898-EN.pdf,2017-03-15
1286152.0,A/71/PV.72,English,https://digitallibrary.un.org/record/1286152/files/A_71_PV.72-EN.pdf,2017-03-21
862899.0,S/PV.7906,English,https://digitallibrary.un.org/record/862899/files/S_PV-7906-EN.pdf,2017-03-23
1286285.0,A/71/PV.73,English,https://digitallibrary.un.org/record/1286285/files/A_71_PV.73-EN.pdf,2017-03-24
1286364.0,S/PV.7918,English,https://digitallibrary.un.org/record/1286364/files/S_PV-7918-EN.pdf,2017-04-06
1286552.0,S/PV.7926,English,https://digitallibrary.un.org/record/1286552/files/S_PV-7926-EN.pdf,2017-04-18
1288980.0,S/PV.7932,English,https://digitallibrary.un.org/record/1288980/files/S_PV-7932-EN.pdf,2017-04-28
1287682.0,S/PV.7951,English,https://digitallibrary.un.org/record/1287682/files/S_PV-7951-EN.pdf,2017-05-25
1289721.0,A/71/PV.83,English,https://digitallibrary.un.org/record/1289721/files/A_71_PV-83-EN.pdf,2017-05-31
1288632.0,S/PV.7959,English,https://digitallibrary.un.org/record/1288632/files/S_PV-7959-EN.pdf,2017-06-06
1311437.0,E/2017/SR.39,English,https://digitallibrary.un.org/record/1311437/files/E_2017_SR-39-EN.pdf,2017-07-05
